"题目","朝代","作者","内容"
"闲散石虎墓","清末民国初","许南英","梦蝶园边一抔土，残碑斑驳勒石虎。墓中虎骨化灰尘，头衔独以闲散取。不知年代何许人，是清是明难判剖。台湾自鼎革而还，郑氏开荒为初祖。其时亦有济时贤，文武衣冠难仆数。王辜卢沈张郁俞，刺桐花下诗坛聚。正青先生别一流，好佛自作蝶园主。之数人者我俱知，理乱不闻谢簪组。吁嗟乎，生才乱世总不祥，不如闲散之为愈。斯人不闻与虎群，虎亦不与斯人伍。剩水残山一虎坟，春草秋花荐牧竖。短歌当虎墓志铭，呜乎石虎足千古。"
"梦蝶园怀李茂春先生","清末民国初","许南英","喃喃口诵波罗蜜，遁迹东来毗舍耶。名士晚年多好佛，古梅无主自开花。荒园蝶梦犹留址，瘴海龙潜未有家。二百馀年香火地，孤松苍郁有栖鸦。"
"老妓","清末民国初","许南英","当初悔不嫁商人，断送莺花几度春。记曲剩馀红豆冷，登楼羞见绿杨新。绝无乐府留前辈，那有空房寄此身。夜静忽听儿女语，泪痕如水月如银。"
"海漫漫","清末民国初","许南英","海漫漫，谁是求仙海外还。浪说蓬莱金玉阙，虚无缥渺诳人间。有人鼓浪冲波去，秋水连天不遇仙。仙在人间人不见，升天入地求之遍。徐福楼船东复东，一去东洋不复转。海漫漫，空无际，那有仙舟海岛系。辨石已无严君平，好奇偏笑秦皇帝。崆峒山头拜广成，伊古帝尧闻真谛。必静必清毋劳神，便是神仙长生计。吁嗟乎，半生名利客，一梦入邯郸。纵有神仙传妙语，世人枉自鍊金丹。"
"黄果","清末民国初","许南英","瓜李浮沈四月天，树头黄果又新鲜。异乡忽味家乡味，别汝于今已十年。"
"秋影","清末民国初","许南英","夕阳楼角影模糊，倒蘸秋园作画图。病鹤池头临水静，断鸿天际入云孤。自怜瘦态同篱菊，更爱清阴到井梧。高树昏黄生暝色，悬空尚有夜来珠。"
"林投帽","清末民国初","许南英","公装夏帽仿西欧，编织新搜树叶柔。洗去泥涂肤自白，绝无芒刺背能留。葛巾陶令思归隐，箬笠苏公爱自由。嘉木蕃生遍台岛，此乡番语号林投。"
"谈诗","清末民国初","许南英","风雅何人守一经，悬河巨口信纵横。五千年上无诗学，三百篇中有正声。乐府汉唐编古体，骚坛李杜占诗名。兴观群怨皆天籁，托兴随人籁自鸣。"
"鏖诗","清末民国初","许南英","刻烛夜鏖诗，钩心斗角时。登坛谁主将，制胜有偏师。争韵无妨险，成功独赏奇。若逢唐李杜，我愿作偏裨。"
"留别南社同人之ㄧ","清末民国初","许南英","自笑馀生等系匏，遂初犹忆旧衡茅。湖龙化去开新国，海燕归来失故巢。容我乾坤如许小，含恩生死忍全抛。苔岑此日无同异，订作忘年文字交。"
"秋蝶","清末民国初","许南英","万花落尽寂无言，酝酿灵机一息存。对影滕王重写照，化身庄叟为招魂。蓬山仙去留遗迹，粉署官閒断主恩。惨淡西风丛菊冷，舞衣已倦过墙根。"
"落叶和贡觉原韵 其二","清末民国初","许南英","远岫萧萧隔古津，淡烟一抹暮山颦。半生错节盘根器，万里鸾飘凤泊身。我叹飞蓬随逝水，佛言祇树碎微尘。扶疏老屋饶新意，数点梅花度早春。"
"湖楼酒坐呈孝达相国","清末民国初","陈宝琛","不期垂白共深尊，照眼湖光近禁垣。四海喜闻公老健，卅年独斡世贞元。弹冠一出惭微尚，载笔相从怆旧恩。天性爱莲渐长夏，得陪高阁及时论。"
"夏口行","清末民国初","章炳麟","夏口何迢迢，南国之纪纲。中有二猛士，威棱瞻殊荒。力能斩地脉，智能分天章。不念同胞苦，好自相扶将。斗鸡一寻衅，骨肉还相戕。称兵犯莫府，五战皆夷伤。行行各分陌，千里不相望。远视尚角目，焉知弟与兄。朔风忽陵厉，白露能为霜。赤松既云远，谁能无他肠。良言不见听，思之泪沾裳。"
"香园阁席上呈广东记者团诸公","清末民国初","傅锡祺","左股蓬莱割去轻，仙山图色染分明。一家自笑成胡越，四海谁知总弟兄。大地风云犹急变，东瀛文物待真评。过江个个皆名士，旋转乾坤有管城。"
"观高雄古炮台作","清末民国初","傅锡祺","锁钥南门壮大观，珠崖一弃水声酸。断砖斑剥描蝌蚪，穴壁弯环认弹丸。出没牛羊春草长，凄凉瓦砾夕阳残。平生荆棘铜驼意，悄立山头欲去难。"
"马当山","清末民国初","黄鸿翔","怪石临流一箭通，王郎从此访阎公。文章自得江山助，漫说神人借好风。"
"步米溪词长留别韵","清末民国初","黄鸿翔","江湖足迹久知津，杜牧清才稳幕宾。海上三山辞故土，闽南千里访词人。焦桐入抱难同调，朗玉成行不染尘。此日奚囊诗句满，我惭郑谷和阳春。"
"杨妃醉酒图","清末民国初","黄鸿翔","描来酒晕见天真，一醉翻教百媚新。谁识寿王宫漏永，夜深长作独醒人。"
"天长节恭赋","清末民国初","黄赞钧","晨旭丽扶桑，邦基万载长。虹流思诞圣，电绕志兴王。嘉瑞符三祝，恩膏普四方。征俄固唇齿，一举国威张。峻极丰明殿，雍容驾紫鸾。龙飞刚六秩，鹄立肃千官。献颂来重译，宣威纪并韩。宫廷承赐宴，雅乐奏云端。邻国风云亟，皇图磐石安。一人诚圣武，四海静波澜。寿比冈陵固，恩同天地宽。亚欧如论霸，功德迈齐桓。海峤帡幪里，端居感圣明。三台风雨厄，双阙画图呈。帝泽沾濡远，民生爱戴诚。千秋金鉴进，聊以答升平。"
"题台湾诗醇","清末民国初","黄赞钧","我昔初学咏，常读古人吟。李杜重盛唐，奥妙而艰深。偶然读时作，亦足豁胸襟。丘壑吾曾历，一见早倾心。人言今逊古，未尽古胜今。千载同诗境，后贤自足钦。可叹斐亭歇，钟缶共争音。赖子有心者，遗编费苦寻。万选求青钱，披沙获巨金。未敢私所好，积帙灿琅琳。取之充邺架，何愁饱蠹蟫。一贵洛阳纸，声价满鸡林。"
"全岛联吟大会开于嘉义书此以祝","清末民国初","叶际唐","诸罗县里萃衣冠，往事搜寻简未残。绩著婴城柴大纪，威雄专阃福康安。覆盆谁雪千秋枉，击钵姑联一日欢。最爱遥山撑阿里，樱花隐隐映吟坛。"
"不倒翁","清末民国初","叶际唐","耐尽推排趾未颠，莫嗤身价不多钱。乃公头白犹强项，五体轻投惜少年。"
"屠苏酒","清末民国初","叶际唐","乾坤沉醉众生愚，几欲终年作酒徒。一草履端开恶例，菖蒲继酿又茱萸。"
"淮阴侯","清末民国初","叶际唐","两受王封惜不终，多多善将亦英雄。龙且早中囊沙计，张耳难分背水功。却怪千金酬漂母，未闻一芥报滕公。杀身祸伏亡齐日，临死还思听蒯通。"
"息妫","清末民国初","叶际唐","殉节原知愧绿珠，多情应谅一言无。试看典午羊皇后，忍诋前夫媚后夫。"
"桃花浪","清末民国初","赖子清","一湾遥接避秦居，夹岸缤纷涨绿初。水面文章花烂漫，源头干满月盈虚。千层翻雪春晴后，几数流霞夕照馀。盛世于今无祸乱，问津不见武陵渔。"
"画菊","清末民国初","赖子清","壁间谁绘傲霜株，淡淡秋容鹤样臞。三径浑疑香欲动，数枝如见墨初濡。毫端点缀花多少，篱畔模糊雪有无。添个渊明来采撷，悠然一幅聚芳图。"
"将辞台南州属出差阿里山偶赋","清末民国初","赖子清","孤馆凄清睡不成，宦情羁思雨中生。买山有愿今将遂，愧乏涓埃报圣明。"
"观穫稻","清末民国初","谢汝铨","金声笠影满平畴，溪碓舂云一水流。含露绿茎和穗刈，衬霞红颗带芒收。却看设网终驱雀，不信蹊田敢夺牛。新筑团焦晒香粒，胼胝手足得冬休。"
"铁砚","清末民国初","谢汝铨","含毫绵渺墨光中，鼓铸当年认化工。未许一焚俱玉石，应知百鍊胜金铜。茂先博志承恩重，宗可閒题寄意雄。付与横空盘硬语，铮铮文字有声同。"
"铜钱","清末民国初","谢汝铨","役神使鬼力通天，今古贤愚任倒颠。中外却教资国宝，有无偏许制人权。蚨飞蝶化形都幻，狗苟蝇营状可怜。榆荚在山荷在水，枉将虚象著圆圆。"
"电扇","清末民国初","谢汝铨","相需夏热急迎来，不用秋高强送回。风雨晦明知有恨，乾坤旋转愧无才。双条铁线传轻电，四叶铜机响细雷。万斛激扬凉味出，江深草阁漫为陪。"
"敕题朝海","清末民国初","谢尊五","朝曦初出海门东，照彻波心潋滟红。诸派有宗皆就下，细流无数入涵中。金光远射霞扶日，玉色平铺浪压风。共庆安澜知圣德，率滨三土尽呼嵩。"
"牛刀","清末民国初","谢尊五","迎刃多馀地，全牛立解时。三年批窍郤，四顾碎肤肌。得间灵机悟，从心妙理随。真诠功宰物，肯綮任纷披。"
"题台湾诗醇","清末民国初","谢尊五","文章乡土两涵濡，风雨名山辟一隅。纪事心推吴伟业，选家眼具沈归愚。鹭鸥汐社犹吟咏，海峤骚坛藉典谟。陶醉有人耽艺术，乱浮大白唤提壶。"
"锦园即事","清末民国初","谢尊五","恢拓名园半市庄，南流滩水北池塘。风追坡老堤仍在，癖嗜陶公径不荒。绮砌芝兰香带润，幽庭松竹翠生凉。崇祠屹立眉山上，沼有蘋蘩采祼将。"
"车通员移居索诗歌以遗之","清末民国初","苏镜潭","华亭之南闻唳鹤，平原何故轻入洛。十年以来星步移，阴霾惨晦翳大陆。洞天一去一千里，秋波绿剪芙蓉烛。美人娟娟隔暮云，我欲从之搴杜若。我马虺隤我姑酌，曰归曰归践宿诺。班荆道上略寒温，乡音老大尚依约。筋骨差幸各强健，握手欷歔更大噱。座无车公我不乐，侨居何幸邻孙绰。"
"用瘿民韵和辜菽庐","清末民国初","苏镜潭","东渡鲲溟万里船，杜家涕泪米家颠。细评茶韵心如水，少掇芹香眼过烟。落拓祇馀孤剑在，会逢似有暗丝牵。归家转盼经残腊，相约杖头挂百钱。黑潮滚滚送归船，乡事寒梅欲放颠。岁晚冰霜催客鬓，兵荒墟里断人烟。日浮大白千杯少，风送深红万恨牵。一事与君同慰藉，身閒落得是无钱。"
"寄梁启超","清末民国初","章炳麟","秦风号长杨，白日忽西匿。南山不可居，啾啾鸣大特。狂走上城隅，城隅无栖翼。中原竟赤地，幽人求未得。昔我行东越，道至溪知穷。洒酒思共和，共和在海东。谁令诵诗礼，发蒙成奇功。今我行江汉，候骑盈山邱。借问杖节谁，云是刘荆州。绝甘厉朝贤，木瓜为尔酬。至竟盘盂书，文采欢田侯。去去不复顾，迷阳当我路。河图日以远，鸱枭日以怒。安得起槁骨，掺袪共驰步。驰步不可东，驰步不可西，驰步不可南，驰步不可北。鉴皇穹黎庶，均平无九服。顾我齐州产，宁能忘禹域。击磬一微秩，志屈逃海滨。商容冯马徒，志在诛纣辛。怀哉殷周世，大泽宁无人。"
"台北旅馆书怀寄呈南海先生","清末民国初","章炳麟","一读登楼赋，悠然吾土思。回顾忆畴昔，搔首愈踌踟。早岁横江汉，谈经待不其。清言凌白马，壮志抚黄羲。忽展埼亭集，愈惊秀楚词。帝秦终蹈海，访武尚明夷。石隐优游日，天王明圣时。操刀期必割，沦鼎待重掎。鹖换雕题服，虬登隐背枝。佩緺延茂士，赐玦愧遗黎。老泪长门掬，深情故剑知。漂山成众煦，建旐倡群疑。已恸尧台锢，那堪嵇灶戣。有行黔墨突，无涕吊湘累。沙麓精灵在，蓬瀛风鹤危。飞丸穷赵壹，问卜警爰丝。蹈火心非悔，盍簪涂又歧。东洲花树迥，南国羽书迟。斗转空凭眺，河清动夙悲。千年仲宣恨，荼苦更如饴。"
"台城路","清末民国初","康有为","南岭海北春飙早，是处饧箫腊鼓。红灿木棉，牡丹才放，又是梨花飘雨。春思良苦。待■风信至，那时说与。只恐见时，相看脉脉更无语。过尽韶华几许。叹被冷香销，倚楼何处。敲柝玉钗，写残锦字，虚向梦中凝伫。朝朝暮暮。算只有东风，知人心绪。便向东风，再寻梦中路。"
"月上海棠·极乐寺■海棠且落矣","清末民国初","康有为","人间但解看花好，奈■■、开落成朝暮。受尽东风，只赢得、词人题句。君休问，马上车前无数。明年知又春如故。独惊心、今日更何处。素韵红情，极难忘、几回相遇。谁曾共，日斜重觅归路。"
"百字令","清末民国初","康有为","无憀有恨，正荷花时候，春愁翻热。约个酒人添个影，卷起湘帘望月。雪藕丝长，拗莲心苦，此意吾能说。隔窗鹦鹉，为说也自饶舌。又是酒倦灯阑，绿茶初酽，越色瓮杯洁。细数流年如一昨，独有心情凄绝。春草秋花，神仙儿女，其事无完缺。看侬铁笛，一声吹破云裂。"
"浪淘沙","清末民国初","康有为","一箭惜年芳。窗外斜阳。浅红栏槛月微黄。莫问当时题句处，说也凄凉。缣粉坠秋香。沾满琴廊。青虫依旧罥丝长。不道回肠花落后，犹有回肠。"
"采桑子","清末民国初","康有为","是谁唱东风昨夜，月正圆时。秋正凉时。红楼蓦地忽逢伊。一从见后■哀■，醒也思思。梦也思思。半年心事有谁知。"
"祝英台近","清末民国初","康有为","玉阑干，银栊槛，见彤霞和雪。春深香国，记月圆时节。五度护铃频咒，彩幡试剪，此情意、绵绵难讫。爱花切。却恐嫩蕊浓香，误被他人折。纵教未折，采摘应残缺。欲拾零香枕畔，心情凄绝，怪东风、怎任狼藉。"
"万年欢·立春日社集灯词，用乙庵韵","清末民国初","瞿鸿禨","斗转珠杓，烟凝彩胜，乾坤佳气重新。增受泰元神美，节应长春。万树银花齐发，彻丹霄、升法王轮。龙衔耀、欢喜人天，催成花雨缤纷。想见千门月满，照东华香雾，影逐车尘。道是鳌山故事，虹渚嘉辰。遥听霓裳法曲，现分明、五色仙云。凭青鸟、早报司开，来朝捧出黄人。"
"洞庭春色·梦山题壁","清末民国初","魏元戴","醒眼蘧蘧。青山有约，转入华胥。听天鸡叫曙，庄周还我，大千秋色，泪满襟裾。屈子问天天语否，抱信美、文章赋索居。烟霞外，漫心悬霄汉，赤日轮扶。平生著几緉屐，原不惜、寻仙路迂。看回峦起伏，都如龙虎，危峰偃蹇，比我清癯。凉路湿衣孤月白，正万树、松楸啼夜乌。聊题句，待归来五岳，囊括秦吴。"
"金明池·自题肖影","清末民国初","魏元戴","照眼无书，横腰没剑，一领白衣当暑。把素扇、团团如月，原不是、挥军白羽。总科头、怕误儒冠，笑跌宕风流，旦评应许。但中酒情怀，狂歌意态，都付倒挽眉宇。浩气不磨中各贮。荷节义双肩，烈烈今古。相君面、直封侯耳，须运应、五星奎聚。等昂藏、七尺男儿，有黻舄精神，千秋快睹。任图上麒麟，呼为牛马，与留稿谱。"
